Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.6178887484197219,0.6178887484197219,0.6178887484197219,0.6178887484197219
Random Forest,0.620417193426043,0.620417193426043,0.620417193426043,0.620417193426043
Support Vector Machine,0.6087231352718079,0.6087231352718079,0.6087231352718079,0.6087231352718079
K-Nearest Neighbors,0.5366624525916561,0.5366624525916561,0.5366624525916561,0.5366624525916561
